operators,batch_size,avg_alert_rate_h,mean_service_s,deadline_s,timely_prob_mean,timely_prob_sd
1,1,45,21.200000,90,0.955284,0.001318
1,2,45,21.200000,90,0.883900,0.003020
1,4,45,21.200000,90,0.704024,0.003485
1,8,45,21.200000,90,0.416160,0.004742
1,12,45,21.200000,90,0.272068,0.004954
2,1,45,21.200000,90,0.984872,0.000339
2,2,45,21.200000,90,0.981648,0.000282
2,4,45,21.200000,90,0.952680,0.001497
2,8,45,21.200000,90,0.813628,0.003625
2,12,45,21.200000,90,0.625996,0.004334
3,1,45,21.200000,90,0.985552,0.000475
3,2,45,21.200000,90,0.985200,0.000694
3,4,45,21.200000,90,0.981008,0.000487
3,8,45,21.200000,90,0.940292,0.001314
3,12,45,21.200000,90,0.851052,0.004177
4,1,45,21.200000,90,0.985972,0.000327
4,2,45,21.200000,90,0.985708,0.000505
4,4,45,21.200000,90,0.985064,0.000250
4,8,45,21.200000,90,0.972096,0.001136
4,12,45,21.200000,90,0.934884,0.001127
