team_decision_rate_h,mean_service_s,deadline_s,utilization,timely_completion_prob,service_anchor
30,15.000000,90,0.125000,0.994752,scenario
30,21.200000,90,0.176667,0.969660,cross-domain observed (security inspection)
30,30.000000,90,0.250000,0.894601,scenario
30,45.000000,90,0.375000,0.713495,scenario
30,60.000000,90,0.500000,0.527633,scenario
30,75.000000,90,0.625000,0.362372,scenario
45,15.000000,90,0.187500,0.992365,scenario
45,21.200000,90,0.265000,0.955855,cross-domain observed (security inspection)
45,30.000000,90,0.375000,0.846645,scenario
45,45.000000,90,0.562500,0.583138,scenario
45,60.000000,90,0.750000,0.312711,scenario
45,75.000000,90,0.937500,0.072257,scenario
60,15.000000,90,0.250000,0.988891,scenario
60,21.200000,90,0.353333,0.935770,cross-domain observed (security inspection)
60,30.000000,90,0.500000,0.776870,scenario
60,45.000000,90,0.750000,0.393469,scenario
60,60.000000,90,1.000000,0.000000,scenario
60,75.000000,90,1.250000,0.000000,scenario
