scale_vs_45_candidate_events_h,candidate_event_rate_h,operators,TPR,FPR,alert_rate_h,Q,EHC_timing_only
1,45,1,0.996009,0.515953,23.239507,0.974378,0.970489
1,45,2,0.999953,0.902340,40.609687,0.985206,0.985160
1,45,4,0.999980,0.933193,41.996681,0.985668,0.985648
2,90,1,0.988927,0.372591,33.588619,0.966812,0.956107
2,90,2,0.999593,0.768830,69.215491,0.984134,0.983733
2,90,4,0.999980,0.933193,83.993363,0.985658,0.985639
5,225,1,0.964686,0.210410,47.511926,0.952994,0.919340
5,225,2,0.995704,0.505984,113.956567,0.980140,0.975929
5,225,4,0.999945,0.895261,201.457194,0.985386,0.985332
10,450,1,0.928929,0.126105,57.108331,0.940249,0.873425
10,450,2,0.983532,0.315614,142.326727,0.974776,0.958723
10,450,4,0.998940,0.677242,304.903614,0.984159,0.983116
20,900,1,0.873451,0.070781,64.425193,0.928256,0.810787
20,900,2,0.955703,0.181411,163.966992,0.967872,0.924998
20,900,4,0.992194,0.422696,380.939374,0.981320,0.973660
