C_min,confidence,failures_allowed_observed,minimum_critical_events,one_sided_CP_lower_bound
0.900000,0.950000,0,29,0.901855
0.900000,0.950000,1,46,0.900976
0.900000,0.950000,2,61,0.900365
0.900000,0.950000,3,76,0.901130
0.900000,0.990000,0,44,0.900628
0.900000,0.990000,1,64,0.900729
0.900000,0.990000,2,81,0.900242
0.900000,0.990000,3,97,0.900139
0.950000,0.950000,0,59,0.950492
0.950000,0.950000,1,93,0.950006
0.950000,0.950000,2,124,0.950100
0.950000,0.950000,3,153,0.950105
0.950000,0.990000,0,90,0.950119
0.950000,0.990000,1,130,0.950029
0.950000,0.990000,2,165,0.950034
0.950000,0.990000,3,198,0.950162
0.990000,0.950000,0,299,0.990031
0.990000,0.950000,1,473,0.990010
0.990000,0.950000,2,628,0.990009
0.990000,0.950000,3,773,0.990000
0.990000,0.990000,0,459,0.990017
0.990000,0.990000,1,662,0.990015
0.990000,0.990000,2,838,0.990007
0.990000,0.990000,3,1001,0.990000
