prevalence,sensitivity,FPR,scale_vs_45_candidate_events_h,candidate_event_rate_h,operators,alert_rate_h,utilization,timely_alert_completion_Q,EHC_timing_only
0.001000,0.990000,0.050000,1,45,1,2.292300,0.013499,0.984433,0.974589
0.001000,0.990000,0.050000,1,45,2,2.292300,0.006750,0.985317,0.975464
0.001000,0.990000,0.050000,1,45,4,2.292300,0.003375,0.985050,0.975200
0.001000,0.990000,0.050000,2,90,1,4.584600,0.026998,0.983567,0.973731
0.001000,0.990000,0.050000,2,90,2,4.584600,0.013499,0.985467,0.975612
0.001000,0.990000,0.050000,2,90,4,4.584600,0.006750,0.985867,0.976008
0.001000,0.990000,0.050000,5,225,1,11.461500,0.067495,0.980717,0.970909
0.001000,0.990000,0.050000,5,225,2,11.461500,0.033748,0.987133,0.977262
0.001000,0.990000,0.050000,5,225,4,11.461500,0.016874,0.986150,0.976289
0.001000,0.990000,0.050000,10,450,1,22.923000,0.134991,0.974500,0.964755
0.001000,0.990000,0.050000,10,450,2,22.923000,0.067495,0.985233,0.975381
0.001000,0.990000,0.050000,10,450,4,22.923000,0.033748,0.986383,0.976519
0.001000,0.990000,0.050000,20,900,1,45.846000,0.269982,0.956367,0.946803
0.001000,0.990000,0.050000,20,900,2,45.846000,0.134991,0.984117,0.974275
0.001000,0.990000,0.050000,20,900,4,45.846000,0.067495,0.985733,0.975876
0.001000,0.990000,0.050000,40,1800,1,91.692000,0.539964,0.862850,0.854221
0.001000,0.990000,0.050000,40,1800,2,91.692000,0.269982,0.982783,0.972955
0.001000,0.990000,0.050000,40,1800,4,91.692000,0.134991,0.985600,0.975744
0.001000,0.990000,0.100000,1,45,1,4.540050,0.026736,0.984350,0.974507
0.001000,0.990000,0.100000,1,45,2,4.540050,0.013368,0.985283,0.975430
0.001000,0.990000,0.100000,1,45,4,4.540050,0.006684,0.985717,0.975859
0.001000,0.990000,0.100000,2,90,1,9.080100,0.053472,0.981050,0.971240
0.001000,0.990000,0.100000,2,90,2,9.080100,0.026736,0.986150,0.976289
0.001000,0.990000,0.100000,2,90,4,9.080100,0.013368,0.984933,0.975084
0.001000,0.990000,0.100000,5,225,1,22.700250,0.133679,0.972967,0.963237
0.001000,0.990000,0.100000,5,225,2,22.700250,0.066840,0.984750,0.974903
0.001000,0.990000,0.100000,5,225,4,22.700250,0.033420,0.985767,0.975909
0.001000,0.990000,0.100000,10,450,1,45.400500,0.267358,0.955300,0.945747
0.001000,0.990000,0.100000,10,450,2,45.400500,0.133679,0.984117,0.974275
0.001000,0.990000,0.100000,10,450,4,45.400500,0.066840,0.986567,0.976701
0.001000,0.990000,0.100000,20,900,1,90.801000,0.534717,0.855950,0.847390
0.001000,0.990000,0.100000,20,900,2,90.801000,0.267358,0.982833,0.973005
0.001000,0.990000,0.100000,20,900,4,90.801000,0.133679,0.985650,0.975793
0.001000,0.990000,0.100000,40,1800,1,181.602000,1.069434,0.002033,0.002013
0.001000,0.990000,0.100000,40,1800,2,181.602000,0.534717,0.959417,0.949823
0.001000,0.990000,0.100000,40,1800,4,181.602000,0.267358,0.984850,0.975002
0.001000,0.990000,0.200000,1,45,1,9.035550,0.053209,0.981617,0.971801
0.001000,0.990000,0.200000,1,45,2,9.035550,0.026605,0.986050,0.976189
0.001000,0.990000,0.200000,1,45,4,9.035550,0.013302,0.985450,0.975595
0.001000,0.990000,0.200000,2,90,1,18.071100,0.106419,0.975683,0.965927
0.001000,0.990000,0.200000,2,90,2,18.071100,0.053209,0.986567,0.976701
0.001000,0.990000,0.200000,2,90,4,18.071100,0.026605,0.986417,0.976552
0.001000,0.990000,0.200000,5,225,1,45.177750,0.266047,0.953783,0.944245
0.001000,0.990000,0.200000,5,225,2,45.177750,0.133023,0.984950,0.975101
0.001000,0.990000,0.200000,5,225,4,45.177750,0.066512,0.985300,0.975447
0.001000,0.990000,0.200000,10,450,1,90.355500,0.532093,0.863900,0.855261
0.001000,0.990000,0.200000,10,450,2,90.355500,0.266047,0.982767,0.972939
0.001000,0.990000,0.200000,10,450,4,90.355500,0.133023,0.985767,0.975909
0.001000,0.990000,0.200000,20,900,1,180.711000,1.064187,0.003767,0.003729
0.001000,0.990000,0.200000,20,900,2,180.711000,0.532093,0.961200,0.951588
0.001000,0.990000,0.200000,20,900,4,180.711000,0.266047,0.985833,0.975975
0.001000,0.990000,0.200000,40,1800,1,361.422000,2.128374,0.000350,0.000347
0.001000,0.990000,0.200000,40,1800,2,361.422000,1.064187,0.009300,0.009207
0.001000,0.990000,0.200000,40,1800,4,361.422000,0.532093,0.981517,0.971701
