N,FPR,M_min,first_order_N_ell_f
50,0.001,1,0.01
53,0.001,1,0.010600000000000002
57,0.001,1,0.0114
61,0.001,1,0.0122
65,0.001,1,0.013000000000000001
70,0.001,1,0.014
75,0.001,1,0.015
80,0.001,1,0.016
86,0.001,1,0.0172
91,0.001,1,0.0182
98,0.001,1,0.019600000000000003
105,0.001,1,0.021
112,0.001,1,0.022400000000000003
120,0.001,1,0.024
128,0.001,1,0.0256
137,0.001,1,0.027400000000000004
146,0.001,1,0.029200000000000004
156,0.001,1,0.031200000000000002
167,0.001,1,0.0334
179,0.001,1,0.035800000000000005
191,0.001,1,0.038200000000000005
204,0.001,1,0.0408
219,0.001,1,0.043800000000000006
234,0.001,1,0.04680000000000001
250,0.001,1,0.05
267,0.001,1,0.05340000000000001
286,0.001,1,0.0572
306,0.001,1,0.061200000000000004
327,0.001,1,0.06540000000000001
350,0.001,1,0.07
374,0.001,1,0.0748
400,0.001,1,0.08
428,0.001,1,0.08560000000000001
457,0.001,1,0.09140000000000001
489,0.001,1,0.09780000000000001
523,0.001,1,0.10460000000000001
559,0.001,1,0.11180000000000001
598,0.001,1,0.11960000000000001
639,0.001,1,0.12780000000000002
684,0.001,1,0.1368
731,0.001,1,0.14620000000000002
782,0.001,1,0.1564
836,0.001,1,0.16720000000000002
894,0.001,1,0.17880000000000001
956,0.001,2,0.1912
1023,0.001,2,0.20460000000000003
1093,0.001,2,0.21860000000000002
1169,0.001,2,0.2338
1250,0.001,2,0.25
1337,0.001,2,0.2674
1430,0.001,2,0.28600000000000003
1529,0.001,2,0.3058
1635,0.001,2,0.327
1749,0.001,2,0.3498
1870,0.001,2,0.374
2000,0.001,2,0.4
2138,0.001,2,0.42760000000000004
2287,0.001,2,0.45740000000000003
2445,0.001,2,0.489
2615,0.001,2,0.523
2796,0.001,2,0.5592
2990,0.001,2,0.598
3198,0.001,2,0.6396000000000001
3420,0.001,2,0.684
3657,0.001,2,0.7314000000000002
3910,0.001,2,0.782
4182,0.001,2,0.8364000000000001
4472,0.001,3,0.8944000000000001
4782,0.001,3,0.9564000000000001
5114,0.001,3,1.0228000000000002
5468,0.001,3,1.0936000000000001
5848,0.001,3,1.1696000000000002
6253,0.001,3,1.2506000000000002
6687,0.001,3,1.3374000000000001
7151,0.001,3,1.4302000000000001
7647,0.001,3,1.5294
8177,0.001,3,1.6354000000000002
8745,0.001,4,1.749
9351,0.001,4,1.8702
10000,0.001,4,2.0
50,0.005,1,0.05
53,0.005,1,0.053000000000000005
57,0.005,1,0.057
61,0.005,1,0.061000000000000006
65,0.005,1,0.065
70,0.005,1,0.07
75,0.005,1,0.075
80,0.005,1,0.08
86,0.005,1,0.086
91,0.005,1,0.091
98,0.005,1,0.098
105,0.005,1,0.105
112,0.005,1,0.11200000000000002
120,0.005,1,0.12
128,0.005,1,0.128
137,0.005,1,0.137
146,0.005,1,0.14600000000000002
156,0.005,1,0.15600000000000003
167,0.005,1,0.167
179,0.005,1,0.17900000000000002
191,0.005,1,0.19100000000000003
204,0.005,2,0.20400000000000001
219,0.005,2,0.21900000000000003
234,0.005,2,0.234
250,0.005,2,0.25
267,0.005,2,0.267
286,0.005,2,0.28600000000000003
306,0.005,2,0.306
327,0.005,2,0.327
350,0.005,2,0.35000000000000003
374,0.005,2,0.374
400,0.005,2,0.4
428,0.005,2,0.42800000000000005
457,0.005,2,0.457
489,0.005,2,0.48900000000000005
523,0.005,2,0.523
559,0.005,2,0.559
598,0.005,2,0.5980000000000001
639,0.005,2,0.6390000000000001
684,0.005,2,0.684
731,0.005,2,0.7310000000000001
782,0.005,2,0.782
836,0.005,2,0.8360000000000001
894,0.005,2,0.8940000000000001
956,0.005,3,0.9560000000000001
1023,0.005,3,1.0230000000000001
1093,0.005,3,1.0930000000000002
1169,0.005,3,1.169
1250,0.005,3,1.25
1337,0.005,3,1.3370000000000002
1430,0.005,3,1.43
1529,0.005,3,1.5290000000000001
1635,0.005,3,1.635
1749,0.005,3,1.749
1870,0.005,4,1.87
2000,0.005,4,2.0
2138,0.005,4,2.1380000000000003
2287,0.005,4,2.2870000000000004
2445,0.005,4,2.445
2615,0.005,4,2.615
2796,0.005,5,2.7960000000000003
2990,0.005,5,2.99
3198,0.005,5,3.1980000000000004
3420,0.005,5,3.42
3657,0.005,5,3.6570000000000005
3910,0.005,6,3.91
4182,0.005,6,4.182
