service,process,Q_mean,Q_sd
Deterministic,poisson,1.0,0.0
Deterministic,batch4,0.9766600000000001,0.002376341726267527
Deterministic,batch8,0.823804,0.004706535881091327
Gamma CV=0.5,poisson,0.9998400000000001,4.6904157598222026e-05
Gamma CV=0.5,batch4,0.968148,0.00254678621010875
Gamma CV=0.5,batch8,0.814504,0.003413221352329788
Exponential,poisson,0.9784799999999999,0.0006246599074696282
Exponential,batch4,0.9291920000000001,0.004143322338413955
Exponential,batch8,0.792768,0.009675459679002341
Gamma CV=1.5,poisson,0.9430160000000001,0.001228934497847614
Gamma CV=1.5,batch4,0.894408,0.002563536619594119
Gamma CV=1.5,batch8,0.7846879999999999,0.004595859005670218
Lognormal CV=1,poisson,0.9787480000000001,0.00043326666153770116
Lognormal CV=1,batch4,0.9362959999999999,0.0016372171511439737
Lognormal CV=1,batch8,0.8038160000000001,0.00536237633890052
