scheduling,queue_aware,threshold,gamma,development_C,policy
fcfs,False,1.0,0.0,0.0,Fixed + FCFS
fcfs,False,1.1,0.0,0.03498964803312629,Fixed + FCFS
fcfs,False,1.2000000000000002,0.0,0.19998689624446367,Fixed + FCFS
fcfs,False,1.3000000000000003,0.0,0.37305212673952354,Fixed + FCFS
fcfs,False,1.4000000000000004,0.0,0.569287417773934,Fixed + FCFS
fcfs,False,1.5000000000000004,0.0,0.7169929501795215,Fixed + FCFS
fcfs,False,1.6000000000000005,0.0,0.8115142699897792,Fixed + FCFS
fcfs,False,1.7000000000000006,0.0,0.8565099457504521,Fixed + FCFS
fcfs,False,1.8000000000000007,0.0,0.8561993867442409,Fixed + FCFS
fcfs,False,1.9000000000000008,0.0,0.8451869905915036,Fixed + FCFS
fcfs,False,2.000000000000001,0.0,0.8281167282543177,Fixed + FCFS
fcfs,False,2.100000000000001,0.0,0.8004232513038237,Fixed + FCFS
fcfs,False,2.200000000000001,0.0,0.7721086563409072,Fixed + FCFS
fcfs,False,2.300000000000001,0.0,0.7482060958670754,Fixed + FCFS
fcfs,False,2.4000000000000012,0.0,0.7198915009041591,Fixed + FCFS
risk,False,1.0,0.0,0.8826362135388003,Score priority
risk,False,1.1,0.0,0.8760358518751475,Score priority
risk,False,1.2000000000000002,0.0,0.8740833923002332,Score priority
risk,False,1.3000000000000003,0.0,0.8716631286526719,Score priority
risk,False,1.4000000000000004,0.0,0.8924705820688209,Score priority
risk,False,1.5000000000000004,0.0,0.8942697277039601,Score priority
risk,False,1.6000000000000005,0.0,0.8984498257200514,Score priority
risk,False,1.7000000000000006,0.0,0.8848638519799775,Score priority
risk,False,1.8000000000000007,0.0,0.8690502397987263,Score priority
risk,False,1.9000000000000008,0.0,0.8538184343632885,Score priority
risk,False,2.000000000000001,0.0,0.8325680740100113,Score priority
risk,False,2.100000000000001,0.0,0.8048745970595172,Score priority
risk,False,2.200000000000001,0.0,0.7741790497156485,Score priority
risk,False,2.300000000000001,0.0,0.7482060958670754,Score priority
risk,False,2.4000000000000012,0.0,0.7198915009041591,Score priority
fcfs,True,1.0,0.05,0.4063317346751579,QAR
fcfs,True,1.0,0.1,0.6022997090966271,QAR
fcfs,True,1.0,0.2,0.7679678695914248,QAR
fcfs,True,1.0,0.3,0.8097151243546401,QAR
fcfs,True,1.0,0.4,0.8160049270120817,QAR
fcfs,True,1.25,0.05,0.6400988023167441,QAR
fcfs,True,1.25,0.1,0.7637484603087245,QAR
fcfs,True,1.25,0.2,0.8204955840343843,QAR
fcfs,True,1.25,0.3,0.8435057787561915,QAR
fcfs,True,1.25,0.4,0.8502594543596196,QAR
fcfs,True,1.5,0.05,0.8435804701627486,QAR
fcfs,True,1.5,0.1,0.8737728332940221,QAR
fcfs,True,1.5,0.2,0.8715845061194538,QAR
fcfs,True,1.5,0.3,0.8742367062400084,QAR
fcfs,True,1.5,0.4,0.8656052624682234,QAR
fcfs,True,1.75,0.05,0.8713918809130697,QAR
fcfs,True,1.75,0.1,0.8690109285321174,QAR
fcfs,True,1.75,0.2,0.8669405351573761,QAR
fcfs,True,1.75,0.3,0.8648308305160258,QAR
fcfs,True,1.75,0.4,0.8669405351573761,QAR
risk,True,1.0,0.05,0.8783774929894909,QAR + score priority
risk,True,1.0,0.1,0.8713132583798516,QAR + score priority
risk,True,1.0,0.2,0.8758432266687634,QAR + score priority
risk,True,1.0,0.3,0.8782634903163246,QAR + score priority
risk,True,1.0,0.4,0.8660337552742616,QAR + score priority
risk,True,1.25,0.05,0.8895078229420553,QAR + score priority
risk,True,1.25,0.1,0.882404277065807,QAR + score priority
risk,True,1.25,0.2,0.8890046387294599,QAR + score priority
risk,True,1.25,0.3,0.882561522132243,QAR + score priority
risk,True,1.25,0.4,0.872052310192101,QAR + score priority
risk,True,1.5,0.05,0.8939591686977488,QAR + score priority
risk,True,1.5,0.1,0.8849778546531436,QAR + score priority
risk,True,1.5,0.2,0.887126870561103,QAR + score priority
risk,True,1.5,0.3,0.887437429567314,QAR + score priority
risk,True,1.5,0.4,0.8832180202846135,QAR + score priority
risk,True,1.75,0.05,0.882133029326205,QAR + score priority
risk,True,1.75,0.1,0.8776816835705112,QAR + score priority
risk,True,1.75,0.2,0.873462274287811,QAR + score priority
risk,True,1.75,0.3,0.8713918809130697,QAR + score priority
risk,True,1.75,0.4,0.8713918809130697,QAR + score priority
